"Report Period","Cert/ID","Institution Name","City","State","Class","Total Assets","Total Domestic Deposits"
"20131231","22549","FIRST PROGRESSIVE BANK","BREWTON","AL","SM","31716","23724"
"20131231","10982","SECURITY STATE BANK OF OKLEE","OKLEE","MN","NM","31710","26578"
"20131231","9636","FRANKLIN GROVE BANK","FRANKLIN GROVE","IL","NM","31603","26155"
"20131231","58172","PEOPLES BANK AND TRUST COMPANY OF CLINTON COUNTY","ALBANY","KY","NM","31593","28819"
"20131231","29646","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION","ABERDEEN","MS","SB","31496","25016"
"20131231","3232","THE GRANGER NATIONAL BANK","GRANGER","TX","N","31457","26994"
"20131231","13926","THE STATE BANK OF CANTON, CANTON, KANSAS","CANTON","KS","NM","31452","26132"
"20131231","16311","LINN COUNTY STATE BANK","COGGON","IA","SM","31374","21862"
"20131231","13582","STATE BANK OF NAUVOO","NAUVOO","IL","NM","31270","29074"
"20131231","11934","GRAPELAND STATE BANK","GRAPELAND","TX","NM","31054","27505"
"20131231","9328","PEOPLES BANK","CHATHAM","LA","NM","31020","27019"
"20131231","4494","THE FIRST NATIONAL BANK OF PRIMGHAR","PRIMGHAR","IA","N","31002","26120"
"20131231","27847","THE PIONEER SAVINGS BANK","CLEVELAND","OH","SI","30967","13364"
"20131231","18292","DUTTON STATE BANK","DUTTON","MT","NM","30824","27408"
"20131231","58611","SUNBANK, NATIONAL ASSOCIATION","PHOENIX","AZ","N","30796","21212"
"20131231","1916","STATE BANK IN EDEN VALLEY","EDEN VALLEY","MN","NM","30685","25831"
"20131231","9440","THE PATASKALA BANKING COMPANY","PATASKALA","OH","NM","30635","27996"
"20131231","57884","SUPERIOR BANK","HAZELWOOD","MO","NM","30618","28917"
"20131231","5110","WESTERN NATIONAL BANK","CASS LAKE","MN","N","30596","26459"
"20131231","6198","HIGHLAND STATE BANK","HIGHLAND","WI","NM","30542","27140"
"20131231","17114","THE GORHAM STATE BANK","GORHAM","KS","NM","30434","28094"
"20131231","15426","ALMENA STATE BANK","ALMENA","KS","NM","30319","27984"
"20131231","29172","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF WAKEENEY","WAKEENEY","KS","SB","30228","26243"
"20131231","17685","LEONARDVILLE STATE BANK","LEONARDVILLE","KS","NM","30210","26254"
"20131231","19118","OREGON TRAIL BANK","GUERNSEY","WY","SM","30091","26927"
"20131231","4774","THE FIRST NATIONAL BANK OF SPEARVILLE","SPEARVILLE","KS","N","30061","24768"
"20131231","2312","THE AMERICAN BANK","WAGONER","OK","NM","30043","23636"
"20131231","16795","BANK OF LOCUST GROVE","LOCUST GROVE","OK","SM","29979","26606"
"20131231","17122","LAKE COUNTRY COMMUNITY BANK","MORRISTOWN","MN","NM","29888","26554"
"20131231","20657","FIRST SECURITY BANK OF DEER LODGE","DEER LODGE","MT","NM","29882","26591"
"20131231","4476","THE FIRST NATIONAL BANK OF LOGAN","LOGAN","IA","N","29861","24196"
"20131231","25328","BANK OF COMMERCE","MCLEAN","TX","SM","29781","25449"
"20131231","2331","PEOPLES BANK AND TRUST COMPANY","RYAN","OK","NM","29730","24735"
"20131231","13999","THE FARMERS AND MERCHANTS STATE BANK","SCOTLAND","SD","NM","29685","27031"
"20131231","8218","FIRST STATE BANK OF SWANVILLE","SWANVILLE","MN","NM","29682","26555"
"20131231","17690","SOUTH PORTE BANK","MARION","IL","NM","29636","25271"
"20131231","27685","FLORA SAVINGS BANK","FLORA","IL","SI","29613","26562"
"20131231","16256","LAKE COUNTY BANK","SAINT IGNATIUS","MT","SM","29495","25852"
"20131231","29532","NOKOMIS SAVINGS BANK","NOKOMIS","IL","SI","29409","20706"
"20131231","58112","LOUISA COMMUNITY BANK","LOUISA","KY","NM","29372","24413"
"20131231","16569","SHERIDAN STATE BANK","SHERIDAN","IL","NM","29336","25597"
"20131231","6064","BRYANT STATE BANK","BRYANT","SD","NM","29284","23579"
"20131231","35602","COUNTRY TRUST BANK","BLOOMINGTON","IL","SB","29272","635"
"20131231","11761","CITIZENS SAVINGS BANK","HAWKEYE","IA","NM","29214","23892"
"20131231","18302","POWELL STATE BANK","POWELL","TX","NM","29164","25589"
"20131231","4174","FIRST NATIONAL BANK IN PAWHUSKA","PAWHUSKA","OK","N","29130","25621"
"20131231","2286","THE CITIZENS BANK OF DE GRAFF","DE GRAFF","OH","NM","29119","26045"
"20131231","13956","CHETOPA STATE BANK & TRUST CO.","CHETOPA","KS","SM","29095","26057"
"20131231","14853","THE FIRST NATIONAL BANK AT ST. JAMES","SAINT JAMES","MN","N","29082","25684"
"20131231","26755","MINNESOTA FIRST CREDIT AND SAVINGS, INCORPORATED","ROCHESTER","MN","NM","29011","24368"
"20131231","15762","FIRST AMERICAN BANK","STONEWALL","OK","NM","29004","25950"
"20131231","13992","PEOPLES STATE BANK","WINFIELD","IA","NM","28992","25360"
"20131231","4728","THE MARION NATIONAL BANK","MARION","KS","N","28943","25317"
"20131231","15432","AMERICAN STATE BANK","OLDHAM","SD","NM","28933","26312"
"20131231","8840","PEOPLES STATE BANK OF WELLS","WELLS","MN","NM","28930","24926"
"20131231","26941","PEOPLES BANK OF DEER LODGE","DEER LODGE","MT","NM","28790","25658"
"20131231","58594","HIGH DESERT BANK","BEND","OR","SB","28754","26846"
"20131231","12432","THE BAXTER STATE BANK","BAXTER SPRINGS","KS","NM","28707","22008"
"20131231","16330","BATTLE CREEK STATE BANK","BATTLE CREEK","NE","SM","28661","23940"
"20131231","10463","MIDDLETOWN STATE BANK","MIDDLETOWN","IL","NM","28653","25389"
"20131231","399","THE FIRST STATE BANK","RYAN","OK","NM","28583","25198"
"20131231","11469","THE GUIDE ROCK STATE BANK","GUIDE ROCK","NE","NM","28551","24881"
"20131231","19954","BANK OF MINDEN","MINDENMINES","MO","NM","28543","24641"
"20131231","5142","THE FIRST NATIONAL BANK OF FAIRFAX","FAIRFAX","MN","N","28504","17758"
